qui;27/9/2012;;07:30;12:00;13:00;17:18;;;;;;
sex;28/9/2012;;07:16;12:00;13:00;16:16;;;;;;
sáb;29/9/2012;;;;;;;;;;;
dom;30/9/2012;;;;;;;;;;;
seg;1/10/2012;;07:15;12:00;13:00;17:30;;;;;;
ter;2/10/2012;;07:22;12:00;13:00;17:22;;;;;;
qua;3/10/2012;;07:27;12:00;13:00;17:17;;;;;;
qui;4/10/2012;;07:22;12:00;13:00;17:17;;;;;;
sex;5/10/2012;;07:15;12:00;13:00;16:21;;;;;;
sáb;6/10/2012;;;;;;;;;;;
dom;7/10/2012;;;;;;;;;;;
seg;8/10/2012;;07:18;12:00;13:00;17:54;;;;;;
ter;9/10/2012;;07:21;12:00;13:00;17:08;;;;;;
qua;10/10/2012;;12:41;17:19;;;;;;;;
qui;11/10/2012;;07:18;12:00;13:00;17:17;;;;;;
sex;12/10/2012;Feriado;;;;;;;;;;
sáb;13/10/2012;;;;;;;;;;;
dom;14/10/2012;;;;;;;;;;;
seg;15/10/2012;;07:24;12:00;13:00;17:31;;;;;;
ter;16/10/2012;;07:20;12:00;13:00;17:32;;;;;;
qua;17/10/2012;;07:21;12:00;13:00;17:55;;;;;;
qui;18/10/2012;;07:16;12:00;13:00;17:22;;;;;;
sex;19/10/2012;;07:24;12:00;13:00;14:36;;;;;;
sáb;20/10/2012;;;;;;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
dom;21/10/2012;;;;;;;;;;;
seg;22/10/2012;;07:17;12:00;13:00;17:19;;;;;;
ter;23/10/2012;;07:33;12:00;13:00;17:32;;;;;;
qua;24/10/2012;;07:27;12:00;13:00;17:19;;;;;;
qui;25/10/2012;;07:37;12:00;13:00;17:17;;;;;;
sex;26/10/2012;;07:23;12:00;13:00;16:27;;;;;;
sáb;27/10/2012;;;;;;;;;;;
dom;28/10/2012;;;;;;;;;;;
seg;29/10/2012;;07:16;12:00;13:00;17:32;;;;;;
ter;30/10/2012;;07:15;12:00;13:00;17:39;;;;;;
qua;31/10/2012;;07:28;12:00;13:00;17:16;;;;;;
qui;1/11/2012;;07:34;12:00;13:00;17:20;;;;;;
sex;2/11/2012;Feriado;;;;;;;;;;
sáb;3/11/2012;;;;;;;;;;;
dom;4/11/2012;;;;;;;;;;;
seg;5/11/2012;;07:26;12:00;13:00;17:16;;;;;;
ter;6/11/2012;;07:11;12:00;13:00;17:20;;;;;;
qua;7/11/2012;;07:16;12:00;13:00;17:17;;;;;;
qui;8/11/2012;;07:19;12:00;13:00;17:44;;;;;;
sex;9/11/2012;;07:15;12:00;13:00;16:50;;;;;;
sáb;10/11/2012;;09:03;12:00;13:00;16:23;;;;;;
dom;11/11/2012;;;;;;;;;;;
seg;12/11/2012;;07:14;12:00;13:00;17:21;;;;;;
ter;13/11/2012;;07:13;12:00;13:00;17:11;;;;;;
qua;14/11/2012;;07:18;12:00;13:00;17:15;;;;;;
qui;15/11/2012;Feriado;;;;;;;;;;
sex;16/11/2012;Falta;;;;;;;;;;
sáb;17/11/2012;;;;;;;;;;;
