qua;14/05/2014;;16:40;22:15;23:15;02:10;;
qui;15/05/2014;;16:40;22:15;23:15;02:10;;
sex;16/05/2014;;16:33;22:15;23:15;02:09;;
s�b;17/05/2014;;;;;;;
dom;18/05/2014;;;;;;;
seg;19/05/2014;Atestado;;;;;;
ter;20/05/2014;Atestado;;;;;;
Soma;;;;;;;;
qua;21/05/2014;;16:36;22:15;23:15;02:11;;
qui;22/05/2014;;16:36;22:15;23:15;02:13;;
sex;23/05/2014;;16:40;22:15;23:15;02:09;;
s�b;24/05/2014;;;;;;;
dom;25/05/2014;;;;;;;
seg;26/05/2014;Feriado;;;;;;
ter;27/05/2014;;16:33;22:15;23:15;02:13;;
qua;28/05/2014;;16:37;22:15;23:15;02:13;;
qui;29/05/2014;;16:33;22:15;23:15;02:13;;
sex;30/05/2014;;16:38;22:15;23:15;02:04;;
s�b;31/05/2014;;06:55;12:27;12:51;16:52;;
dom;01/06/2014;;;;;;;
seg;02/06/2014;;16:36;22:15;23:15;02:17;;
ter;03/06/2014;;16:39;22:15;23:15;02:14;;
qua;04/06/2014;;16:37;22:15;23:15;02:10;;
qui;05/06/2014;;16:35;22:15;23:15;02:10;;
sex;06/06/2014;;16:41;22:15;23:15;02:09;;
s�b;07/06/2014;;;;;;;
dom;08/06/2014;;;;;;;
seg;09/06/2014;;16:39;22:15;23:15;02:05;;
ter;10/06/2014;;16:45;22:15;23:15;02:17;;
qua;11/06/2014;;16:33;22:15;23:15;02:18;;
qui;12/06/2014;;16:36;22:15;23:15;02:10;;
sex;13/06/2014;;16:38;22:15;23:15;02:13;;
s�b;14/06/2014;;07:05;12:13;12:32;18:18;;
dom;15/06/2014;;;;;;;
seg;16/06/2014;;16:33;22:15;23:15;02:14;;
ter;17/06/2014;;20:02;22:15;23:15;02:11;;
qua;18/06/2014;;16:35;22:15;23:15;02:14;;
qui;19/06/2014;Feriado;;;;;;
sex;20/06/2014;;;;;;;
Soma;;;;;;;;
s�b;21/06/2014;;;;;;;
dom;22/06/2014;;;;;;;
seg;23/06/2014;;16:28;22:15;23:15;02:05;;
ter;24/06/2014;;16:38;22:15;23:15;02:11;;
qua;25/06/2014;;16:37;22:15;23:15;02:12;;
qui;26/06/2014;;16:38;22:15;23:15;02:14;;
sex;27/06/2014;;16:37;22:15;23:15;02:17;;
s�b;28/06/2014;;06:55;13:01;13:27;18:43;;
dom;29/06/2014;;;;;;;
seg;30/06/2014;;16:38;22:15;23:15;02:15;;
ter;01/07/2014;;16:33;22:15;23:15;02:14;;
qua;02/07/2014;;16:37;22:15;23:15;02:12;;
qui;03/07/2014;;16:33;22:15;23:15;02:09;;
sex;04/07/2014;;;;;;;
s�b;05/07/2014;;;;;;;
dom;06/07/2014;;;;;;;
seg;07/07/2014;;16:37;22:15;23:15;02:19;;
ter;08/07/2014;;15:55;22:15;23:15;02:11;;
qua;09/07/2014;;16:33;22:15;23:15;02:15;;
qui;10/07/2014;;16:36;22:15;23:15;02:03;;
sex;11/07/2014;;16:36;22:15;23:15;02:18;;
s�b;12/07/2014;;06:59;12:01;12:23;17:16;;
dom;13/07/2014;;;;;;;
seg;14/07/2014;;16:34;22:15;23:15;02:16;;
ter;15/07/2014;;16:35;22:15;23:15;02:06;;
qua;16/07/2014;;16:33;22:15;23:15;02:16;;
qui;17/07/2014;;16:36;22:15;23:15;02:26;;
sex;18/07/2014;;16:35;22:15;23:15;02:26;;
s�b;19/07/2014;;;;;;;
dom;20/07/2014;;;;;;;
Soma;;;;;;;;
seg;21/07/2014;;16:33;22:15;23:15;02:19;;
ter;22/07/2014;;16:34;22:15;23:15;02:12;;
qua;23/07/2014;;16:35;22:15;23:15;02:17;;
qui;24/07/2014;;16:35;22:15;23:15;02:12;;
sex;25/07/2014;;16:33;22:15;23:15;02:19;;
s�b;26/07/2014;;;;;;;
dom;27/07/2014;;;;;;;
seg;28/07/2014;;16:35;21:52;;;;
ter;29/07/2014;;16:36;22:15;23:15;02:14;;
qua;30/07/2014;;16:34;22:15;23:15;02:19;;
qui;31/07/2014;;16:40;22:15;23:15;02:17;;
sex;01/08/2014;;16:33;22:15;23:15;02:17;;
s�b;02/08/2014;;07:02;12:17;12:37;19:15;;
dom;03/08/2014;;;;;;;
seg;04/08/2014;;16:34;22:15;23:15;02:20;;
ter;05/08/2014;;16:33;22:15;23:15;02:20;;
qua;06/08/2014;;16:35;22:15;23:15;02:16;;
qui;07/08/2014;;16:38;22:15;23:15;02:16;;
