ter;04/03/2014;;16:07;21:06;22:06;01:44;;;
qua;05/03/2014;;15:55;20:51;21:52;01:31;;;
qui;06/03/2014;;15:52;20:33;21:34;02:11;;;
sex;07/03/2014;;16:04;21:07;22:09;02:21;;;
sáb;08/03/2014;;;;;;;;
dom;09/03/2014;;;;;;;;
seg;10/03/2014;;16:11;20:42;21:53;01:40;;;
ter;11/03/2014;;15:50;21:00;22:01;01:31;;;
qua;12/03/2014;;16:10;20:58;21:58;01:30;;;
qui;13/03/2014;;15:56;21:07;22:08;02:04;;;
sex;14/03/2014;;16:11;21:00;22:07;02:30;;;
sáb;15/03/2014;;;;;;;;
dom;16/03/2014;;;;;;;;
seg;17/03/2014;;15:52;21:03;22:03;02:04;;;
ter;18/03/2014;;16:12;20:57;21:57;02:07;;;
qua;19/03/2014;;15:28;20:53;21:57;02:19;;;
qui;20/03/2014;;15:49;20:54;21:55;01:38;;;
Soma;;;;;;;;;
sex;21/03/2014;;15:57;21:00;22:01;02:11;;;
sáb;22/03/2014;;;;;;;;
dom;23/03/2014;;;;;;;;
seg;24/03/2014;;;;;;;;
ter;25/03/2014;;16:10;20:58;21:58;01:59;;;
qua;26/03/2014;;16:18;21:03;22:05;02:06;;;
qui;27/03/2014;;16:12;20:58;21:58;01:46;;;
sex;28/03/2014;;16:11;21:01;22:02;02:47;;;
sáb;29/03/2014;;;;;;;;
dom;30/03/2014;;;;;;;;
seg;31/03/2014;;16:13;21:00;22:02;01:33;;;
ter;01/04/2014;;16:12;21:09;22:10;02:00;;;
qua;02/04/2014;;16:12;21:08;22:11;02:00;;;
qui;03/04/2014;;16:10;20:55;21:56;02:15;;;
sex;04/04/2014;;16:09;20:44;21:49;02:02;;;
sáb;05/04/2014;;;;;;;;
dom;06/04/2014;;;;;;;;
seg;07/04/2014;;16:12;21:03;22:03;01:53;;;
ter;08/04/2014;;15:57;20:58;21:59;01:55;;;
qua;09/04/2014;;16:03;21:02;22:02;01:47;;;
qui;10/04/2014;;15:55;21:05;22:10;01:59;;;
sex;11/04/2014;;15:37;20:52;21:53;00:31;;;
sáb;12/04/2014;;;;;;;;
dom;13/04/2014;;;;;;;;
seg;14/04/2014;;16:12;20:56;21:58;02:17;;;
ter;15/04/2014;;16:11;21:01;22:04;01:57;;;
qua;16/04/2014;;16:15;21:04;22:08;01:54;;;
qui;17/04/2014;;16:13;21:01;22:05;02:22;;;
sex;18/04/2014;;;;;;;;
sáb;19/04/2014;;;;;;;;
dom;20/04/2014;;;;;;;;
Soma;;;;;;;;;
seg;21/04/2014;;;;;;;;
