seg;7/7/2014;;07:21;12:02;12:53;17:23
ter;8/7/2014;;07:20;12:02;12:53;16:59
qua;9/7/2014;;07:21;12:02;12:52;17:22
qui;10/7/2014;;07:20;12:01;12:54;17:24
sex;11/7/2014;;07:20;12:02;12:53;17:24
sáb;12/7/2014;;;;;
dom;13/7/2014;;;;;
seg;14/7/2014;;07:22;12:01;12:53;17:22
ter;15/7/2014;;07:21;12:01;12:54;15:01
qua;16/7/2014;;07:20;12:01;12:51;17:24
qui;17/7/2014;;07:21;12:01;12:50;19:06
sex;18/7/2014;Atestado;;;;
sáb;19/7/2014;;;;;
dom;20/7/2014;;;;;
seg;21/7/2014;;07:21;12:01;12:54;17:22
ter;22/7/2014;;07:21;12:01;12:55;17:22
qua;23/7/2014;;07:20;12:01;12:50;17:22
qui;24/7/2014;;07:23;12:01;12:51;17:22
sex;25/7/2014;;07:20;12:02;12:52;17:23
Soma;;;;;;
sáb;26/7/2014;;;;;
dom;27/7/2014;;;;;
seg;28/7/2014;;07:20;12:01;12:55;17:24
ter;29/7/2014;;07:21;12:01;12:54;17:23
qua;30/7/2014;;07:20;12:01;12:50;14:32
qui;31/7/2014;;07:21;12:01;12:56;17:23
sex;1/8/2014;;07:21;12:01;12:56;17:22
sáb;2/8/2014;;;;;
dom;3/8/2014;;;;;
seg;4/8/2014;;07:20;12:03;12:50;17:23
ter;5/8/2014;;07:20;12:01;12:51;17:22
qua;6/8/2014;;07:22;12:04;12:55;17:22
qui;7/8/2014;;07:22;12:01;12:53;17:21
sex;8/8/2014;;07:20;12:01;12:50;17:21
sáb;9/8/2014;;;;;
dom;10/8/2014;;;;;
seg;11/8/2014;;07:21;12:01;12:54;17:22
ter;12/8/2014;;07:21;12:04;12:51;17:21
qua;13/8/2014;;07:21;12:01;12:52;17:21
qui;14/8/2014;;07:20;12:01;12:54;17:23
sex;15/8/2014;;07:23;12:01;12:52;17:21
sáb;16/8/2014;;;;;
dom;17/8/2014;;;;;
seg;18/8/2014;;07:20;12:01;12:50;17:21
ter;19/8/2014;;07:20;12:01;12:50;17:23
qua;20/8/2014;;07:21;12:04;12:51;17:24
qui;21/8/2014;;07:21;12:01;12:55;17:22
sex;22/8/2014;Falta;;;;
sáb;23/8/2014;;;;;
dom;24/8/2014;;;;;
seg;25/8/2014;;07:20;12:01;12:50;17:23
Soma;;;;;;
ter;26/8/2014;;07:21;12:01;12:51;17:22
qua;27/8/2014;;07:21;12:02;12:53;17:23
qui;28/8/2014;;07:20;12:01;12:53;17:24
sex;29/8/2014;Atestado P.;07:43;12:01;12:52;17:22
sáb;30/8/2014;;;;;
dom;31/8/2014;;;;;
seg;1/9/2014;;07:22;12:01;12:53;17:24
ter;2/9/2014;;07:22;12:01;12:51;17:22
qua;3/9/2014;;07:21;12:01;12:53;17:24
qui;4/9/2014;;07:20;12:01;12:55;17:22
sex;5/9/2014;;07:20;12:05;12:50;17:24
sáb;6/9/2014;;;;;
dom;7/9/2014;Feriado;;;;
seg;8/9/2014;;07:22;12:01;12:51;17:21
ter;9/9/2014;;07:20;12:01;12:50;17:21
qua;10/9/2014;;07:20;12:01;12:52;15:25
qui;11/9/2014;;07:21;12:01;12:52;17:25
sex;12/9/2014;;07:20;12:01;12:53;17:23
sáb;13/9/2014;;;;;
dom;14/9/2014;;;;;
seg;15/9/2014;Atestado;;;;
ter;16/9/2014;;07:20;12:03;12:51;17:23
qua;17/9/2014;;07:23;12:02;12:53;17:24
qui;18/9/2014;;07:21;12:02;12:53;17:23
sex;19/9/2014;;07:21;12:02;12:54;17:23
sáb;20/9/2014;Feriado;;;;
dom;21/9/2014;;;;;
seg;22/9/2014;;07:22;12:01;12:51;17:23
ter;23/9/2014;;07:21;12:01;12:56;17:24
qua;24/9/2014;Falta;;;;
qui;25/9/2014;;07:21;12:04;12:53;17:23
Soma;;;;;;
sex;26/9/2014;;07:21;12:01;12:52;17:23
sáb;27/9/2014;;;;;
dom;28/9/2014;;;;;
seg;29/9/2014;;07:20;12:01;12:50;17:23
ter;30/9/2014;;07:21;12:01;12:52;17:24
qua;1/10/2014;;07:20;12:01;12:54;17:21
qui;2/10/2014;;07:20;12:02;12:50;17:24
sex;3/10/2014;;07:21;12:01;12:51;17:21
sáb;4/10/2014;;;;;
dom;5/10/2014;;;;;
seg;6/10/2014;;07:21;12:02;12:53;17:21
ter;7/10/2014;;07:21;12:01;12:51;17:21
qua;8/10/2014;;07:21;12:01;12:50;17:22
qui;9/10/2014;;07:22;12:03;12:51;17:24
sex;10/10/2014;;07:22;12:02;12:54;17:21
sáb;11/10/2014;;;;;
dom;12/10/2014;Feriado;;;;
seg;13/10/2014;;07:30;12:02;12:53;17:21
ter;14/10/2014;;07:20;12:02;12:52;17:20
qua;15/10/2014;;07:20;12:02;12:50;17:21
qui;16/10/2014;;07:21;12:02;12:55;17:21
sex;17/10/2014;;07:20;12:01;12:53;17:21
sáb;18/10/2014;;;;;
dom;19/10/2014;;;;;
seg;20/10/2014;;07:23;12:01;12:50;17:21
ter;21/10/2014;;07:24;12:01;12:54;14:55
qua;22/10/2014;;07:21;12:01;12:54;17:21
qui;23/10/2014;;07:23;12:04;12:51;17:21
sex;24/10/2014;;07:21;12:01;12:54;17:21
sáb;25/10/2014;;;;;
Soma;;;;;;
dom;26/10/2014;;07:21;12:01;12:53;17:21
